tp_etld1,policy_url
dnacdn.net,https://www.criteo.com/privacy/
tiktok.com,https://www.tiktok.com/legal/page/us/privacy-policy/en
yahoo.com,https://legal.yahoo.com/us/en/yahoo/privacy/
tiktokw.us,https://www.tiktok.com/legal/page/us/privacy-policy/en
eu-1-id5-sync.com,https://id5.io/trust/platform-privacy-policy
taboola.com,https://www.taboola.com/privacy-policy
unpkg.com,https://www.cloudflare.com/privacypolicy/
rlcdn.com,https://liveramp.com/privacy/service-privacy-policy
6sc.co,https://6sense.com/privacy-policy/
privacymanager.io,https://liveramp.com/privacy/service-privacy-policy
qualtrics.com,https://www.qualtrics.com/privacy-statement/
zoominfo.com,https://www.zoominfo.com/legal/privacy-policy
yellowblue.io,https://risecodes.com/video-advertisement-player-privacy-policy/
kargo.com,https://www.kargo.com/privacy
presage.io,https://ogury.com/privacy-policies/
onetag-sys.com,https://www.onetag.com/privacy-platform/
im-apps.net,https://corp.intimatemerger.com/privacypolicy-en/
qualified.com,https://www.qualified.com/legal/privacy-policy
a-mo.net,https://www.akamai.com/legal/privacy-statement
g2.com,https://legal.g2.com/privacy-policy
cookiebot.com,https://www.cookiebot.com/en/privacy-policy/
sc-static.net,https://values.snap.com/privacy/privacy-policy
usercentrics.eu,https://usercentrics.com/privacy-policy/
richaudience.com,https://richaudience.com/en/privacy/
spotify.com,https://www.spotify.com/us/legal/privacy-policy/
btloader.com,https://blockthrough.com/privacy-policy/
jquery.com,https://jquery.org/privacy/
snapchat.com,https://values.snap.com/privacy/privacy-policy
ad-delivery.net,https://www.easy-ads.com/privacypolicy.htm
yimg.com,https://legal.yahoo.com/us/en/yahoo/privacy/index.html
website-files.com,https://webflow.com/legal/privacy
inmobi.com,https://www.inmobi.com/privacy-policy
seedtag.com,https://www.seedtag.com/en/privacy-policy
osano.com,https://www.osano.com/legal/privacy
transcend-cdn.com,https://transcend.io/legal/privacy-policy
mrf.io,https://www.marfeel.com/privacy
confiant-integrations.net,https://www.confiant.com/privacy-policy
6sense.com,https://6sense.com/privacy-policy/
firefox.com,https://www.mozilla.org/en-US/privacy/
4dex.io,https://adagio.io/privacy
zi-scripts.com,https://www.zoominfo.com/legal/privacy-policy
mgaru.dev,https://mygaru.com/privacy-policy
dv.tech,https://doubleverify.com/privacy-notice
g2crowd.com,https://www.g2crowd.com/static/privacy
minutemedia-prebid.com,https://www.minutemedia.com/policies/privacy-policy
a-mx.com,https://adaptmx.com/privacy-policy/
amxrtb.com,https://adaptmx.com/privacy-policy/
mygaru.com,https://mygaru.com/privacy-policy
dynatrace.com,https://www.dynatrace.com/company/trust-center/privacy/
ahrefs.com,https://ahrefs.com/legal/privacy-policy
launchdarkly.com,https://launchdarkly.com/policies/privacy/
admatic.de,https://admatic.de/privacy-policy/
quantummetric.com,https://www.quantummetric.com/legal/privacy-policy
dotmetrics.net,https://dotmetrics.net/privacy-center.html
admatic.com.tr,https://admatic.com.tr/en/confidentiality-agreement/
ccgateway.net,https://carbondmp.com/privacy/
wknd.ai,https://www.wunderkind.co/privacy/
pub.network,https://freestar.com/privacy-policy/
browser-intake-datadoghq.com,https://www.datadoghq.com/legal/privacy/
cdn-cookieyes.com,https://www.cookieyes.com/privacy-policy/
pa-cd.com,https://www.piano.io/legal/privacy-policy
optimise.net,https://optimisemedia.com/privacy-policy/
ingage.tech,https://www.ingage.biz/privacy-policy
tru.am,https://www.transunion.com/privacy/truaudience
byspotify.com,https://www.spotify.com/us/legal/privacy-policy/
hlx.page,https://www.adobe.com/privacy/policy.html
p-n.io,https://pushly.com/privacy-policy/
yimg.jp,https://privacy.yahoo.co.jp/en_index.html
ipify.org,https://geo.ipify.org/privacy-policy
ketchjs.com,https://www.ketch.com/privacy-policy
digitalgov.gov,https://digital.gov/policies/
yandex.md,https://yandex.com/legal/confidential/en/
vistarsagency.com,https://vistarsagency.com/privacy-policy/
webcontentassessor.com,https://mediatrust.com/privacy-statement/
script.ac,https://www.humansecurity.com/privacy-policy/
consentmanager.net,https://www.consentmanager.net/datenschutz/
impactcdn.com,https://impact.com/privacy-policy/
sitescout.com,https://privacy.basis.com/
ketchcdn.com,https://www.ketch.com/privacy-policy
abtasty.com,https://www.abtasty.com/privacy-policy/
smilewanted.com,https://www.smilewanted.com/privacy/
pbstck.com,https://www.pubstack.io/privacy
mountain.com,https://mountain.com/privacy-policy/
agkn.com,https://www.transunion.com/privacy/neustar
aniview.com,https://aniview.com/privacy-policy/
privacy-mgmt.com,https://sourcepoint.com/privacy-notice/
openwebmp.com,https://www.openweb.com/legal-and-privacy/privacy/
privacy-center.org,https://www.didomi.io/privacy-policy
sail-horizon.com,https://www.sailthru.com/legal/privacy-statement/
sail-personalize.com,https://www.sailthru.com/legal/privacy-statement/
newsroom.bi,https://www.marfeel.com/privacy-policy/
ebxcdn.com,https://www.echobox.com/privacy
hadronid.net,https://audigent.com/privacypolicy/
blismedia.com,https://blis.com/privacy-centre/
servenobid.com,https://www.nobid.io/privacy-policy/
eskimi.com,https://www.eskimi.com/privacy-policy
assertcom.de,https://assertcom.de/en/privacy-policy/
datadoghq-browser-agent.com,https://www.datadoghq.com/legal/privacy/
cootlogix.com,https://www.vidazoo.com/privacy
ad.gt,https://audigent.com/privacypolicy/
cloudfront.net,https://aws.amazon.com/privacy/
peer39.com,https://www.peer39.com/privacy-policy/
linkedin.com,https://www.linkedin.com/legal/privacy-policy
licdn.com,https://www.linkedin.com/legal/privacy-policy
